Title,Latitude,Longitude 
Lider,-33.5105866,-70.7572607
Superbodega Acuenta,-33.7314234,-70.7418119
Express de Lider,-33.7364015,-70.7369654
Lider,-33.51649226,-70.70879422
Express de Lider,-33.4983477,-70.7286022
Central Mayorista,-33.4858329,-70.7506586
Express de Lider,-33.27674339,-70.62802187
Express de Lider,-33.2180483,-70.68541842
Lider,-33.3908815,-70.6765145
Superbodega Acuenta,-33.3958719,-70.6807315
Lider,-33.5463949,-70.6674997
Superbodega Acuenta,-33.5726921,-70.6661597
Superbodega Acuenta,-33.6815105,-70.9819157
Lider,-33.4527444,-70.6921275
Express de Lider,-33.4570258,-70.7059676
Express de Lider,-33.4639662,-70.7048059
Lider,-33.3649022,-70.6793522
Superbodega Acuenta,-33.3788109,-70.6390251
Express de Lider,-33.3526467,-70.6705443
Express de Lider,-33.42352473,"-33.423524728931916, -70.65566268257777"
Express de Lider,-33.41742059,-70.6562722
Superbodega Acuenta,-33.4226736,-70.6619234
Superbodega Acuenta,-33.7515628,-70.9005619
Express de Lider,-33.5338558,-70.6632143
Lider,-33.519368,-70.6021578
Lider,-33.5175026,-70.5966375
Lider,-33.5119906,-70.5917498
Lider,-33.5435414,-70.5649316
Express de Lider,-33.5218181,-70.5907041
Express de Lider,-33.5453581,-70.586366
Express de Lider,-33.5344898,-70.5937657
Express de Lider,-33.5363278,-70.5538472
Lider,-33.58638112,-70.62710221
Lider,-33.4607293,-70.5455738
Lider,-33.4408349,-70.5352319
Superbodega Acuenta,-33.2844698,-70.8781311
Express de Lider,-33.4187221,-70.5521347
Express de Lider,-33.385023,-70.5334656
Express de Lider,-33.4285697,-70.5743675
Express de Lider,-33.4085011,-70.5680465
Express de Lider,-33.4249239,-70.5534522
Lider,-33.4019711,-70.5158954
Express de Lider,-33.4258211,-70.5773154
Express de Lider,-33.413517,-70.5832512
xpress de Lider,-33.4142617,-70.5660247
Express de Lider,-33.390551,-70.498687
Express de Lider,-33.3522735,-70.520731
Lider,-33.3696801,-70.5121767
Express de Lider,-33.3601254,-70.5058903
Superbodega Acuenta,-33.5088378,-70.6775836
Lider,-33.4451487,-70.7240023
Lider,-33.4745205,-70.5995577
Express de Lider,-33.4848156,-70.5852664
Express de Lider,-33.5021346,-70.6004175
Lider,-33.472011,-70.7574505
Lider,-33.5025278,-70.7564325
Express de Lider,-33.5103849,-70.7777785
Lider,-33.4807518,-70.7467687
Express de Lider,-33.4852587,-70.7361866
Superbodega Acuenta,-33.5050842,-70.7901936
Express de Lider,-33.5127901,-70.7756855
Express de Lider,-33.4924051,-70.7393682
Express de Lider,-33.5449062,-70.7691856
Express de Lider,-33.5157576,-70.7477042
Express de Lider,-33.4702049,-70.750625
Express de Lider,-33.5361516,-70.786446
Express de Lider,-33.479106,-70.7317207
Express de Lider,-33.5245171,-70.7920774
Superbodega Acuenta,-33.5206006,-70.7624723
Superbodega Acuenta,-33.5538964,-70.7952913
Lider,32.7303114,-103.1442334
Express de Lider,-33.4796412,-70.757206
Superbodega Acuenta,37.3021632,-120.4829677
Express de Lider,-33.565352,-70.7989646
Express de Lider,-33.5611598,-70.8275044
Superbodega Acuenta,-33.8081695,-70.7378087
Express de Lider,-33.4980294,-70.6877292
Express de Lider,-33.6114432,-70.8792096
Superbodega Acuenta,-33.606931,-70.897687
Lider,-33.6081184,-70.8556239
Lider,-33.484913,-70.5792476
Central Mayorista,-33.5066904,-70.5871022
Superbodega Acuenta,-33.4699434,-70.5531733
Express de Lider,-33.4878946,-70.5496408
Express de Lider,-33.4227225,-70.6083735
Express de Lider,-33.4400091,-70.6085738
Express de Lider,-33.4293638,-70.6198736
Express de Lider,-33.4228677,-70.5967158
Express de Lider,-33.4407539,-70.6306076
Express de Lider,-33.4266276,-70.6163582
Express de Lider,-33.4255098,-70.5924109
Express de Lider,-33.4453544,-70.6197281
